Word,Count,Percentage
python,7,11.48%
is,5,8.20%
and,5,8.20%
data,2,3.28%
science,2,3.28%
to,2,3.28%
a,1,1.64%
powerful,1,1.64%
programming,1,1.64%
language,1,1.64%
usedfor,1,1.64%
web,1,1.64%
development,1,1.64%
automation,1,1.64%
manydevelopers,1,1.64%
love,1,1.64%
because,1,1.64%
easy,1,1.64%
learnthe,1,1.64%
community,1,1.64%
large,1,1.64%
supportive,1,1.64%
learningpython,1,1.64%
opens,1,1.64%
doors,1,1.64%
many,1,1.64%
career,1,1.64%
opportunities,1,1.64%
in,1,1.64%
datascience,1,1.64%
machine,1,1.64%
learning,1,1.64%
software,1,1.64%
developmentdata,1,1.64%
with,1,1.64%
growing,1,1.64%
rapidly,1,1.64%
toolslike,1,1.64%
numpy,1,1.64%
pandas,1,1.64%
make,1,1.64%
analysis,1,1.64%
simple,1,1.64%
fast,1,1.64%
